x-axis,1,2,3
second,Volt,Ampere,Volt
+70.0E-06,+2.2131637E+00,+211.6758E-03,-382.1556E-03
+80.0E-06,+2.2708542E+00,+208.3673E-03,-325.3770E-03
+90.0E-06,+2.2708542E+00,+206.5201E-03,+2.9311984E+00
+100.0E-06,+2.1995488E+00,+194.9146E-03,+2.8907034E+00
+110.0E-06,+2.3512563E+00,+217.3157E-03,-325.3770E-03
+120.0E-06,+2.4316583E+00,+210.5402E-03,-325.3770E-03
+130.0E-06,+2.4316583E+00,+207.2008E-03,-325.3770E-03
+140.0E-06,+2.4387897E+00,+206.5201E-03,-325.3770E-03
+150.0E-06,+2.5120603E+00,+202.5000E-03,-395.0714E-03
+160.0E-06,+2.5924623E+00,+218.5804E-03,-404.8219E-03
+170.0E-06,+2.5924623E+00,+214.5603E-03,-325.3770E-03
+180.0E-06,+2.5924623E+00,+210.5402E-03,-325.3770E-03
+190.0E-06,+2.6229232E+00,+202.5000E-03,+2.9668557E+00
+200.0E-06,+2.6728643E+00,+202.5000E-03,+3.0187214E+00
+210.0E-06,+2.7448178E+00,+214.5603E-03,-526.3820E-03
+220.0E-06,+2.7532663E+00,+210.5402E-03,-325.3770E-03
+230.0E-06,+2.7863104E+00,+206.5201E-03,-325.3770E-03
+240.0E-06,+2.7798780E+00,+203.8306E-03,-325.3770E-03
+250.0E-06,+2.9140703E+00,+202.5000E-03,-340.0404E-03
+260.0E-06,+2.9140703E+00,+214.5603E-03,-489.1797E-03
+270.0E-06,+2.9140703E+00,+210.5402E-03,-325.3770E-03
+280.0E-06,+2.9704438E+00,+203.7014E-03,-325.3770E-03
+290.0E-06,+2.9944723E+00,+202.5000E-03,+2.8989090E+00
+300.0E-06,+3.0574103E+00,+195.3330E-03,+2.9343636E+00
+310.0E-06,+3.0748743E+00,+210.5402E-03,-325.3770E-03
+320.0E-06,+3.0748743E+00,+207.5924E-03,-325.3770E-03
+330.0E-06,+3.1545773E+00,+198.5149E-03,-325.3770E-03
+340.0E-06,+3.1352291E+00,+198.4799E-03,-325.3770E-03
+350.0E-06,+3.1552764E+00,+196.4995E-03,-325.3770E-03
+360.0E-06,+3.2168162E+00,+210.5402E-03,-325.3770E-03
+370.0E-06,+3.2356784E+00,+206.4259E-03,-325.3770E-03
+380.0E-06,+3.2356784E+00,+202.5000E-03,-325.3770E-03
+390.0E-06,+3.2790550E+00,+200.6487E-03,+3.0917085E+00
+400.0E-06,+3.3160804E+00,+197.6659E-03,+325.7846E-03
+410.0E-06,+3.3205476E+00,+210.3168E-03,-325.3770E-03
+420.0E-06,+3.3964824E+00,+206.5201E-03,-463.3482E-03
+430.0E-06,+3.3964824E+00,+200.7779E-03,-411.4824E-03
+440.0E-06,+3.4768844E+00,+198.4799E-03,-325.3770E-03
+450.0E-06,+3.4698340E+00,+194.4598E-03,-343.0030E-03
